iso3,year,conflict_score,disaster_score,economic_score,health_shock,PEI,conflict_score_flag,disaster_score_flag,economic_score_flag,health_shock_flag,n_crises_above_threshold,is_polycrise_year,income_group,region,country_name
PAK,2023,0.6764824333293838,0.3812959558502956,0.4215502465082886,0.0,0.43748040225493035,1,0,1,1,3,1,LMIC,SASIA,Pakistan
PAK,2024,0.6984179078937216,0.457644233887208,0.3536134596026324,,0.4472606911352626,1,0,0,0,1,0,LMIC,SASIA,Pakistan
PHL,2010,,0.683371106045725,0.144399337324714,,0.20694261084260976,0,0,0,0,0,0,LMIC,SEASIA,Philippines
PHL,2011,,0.722050457021987,0.2206912271170525,0.0,0.23568542103475987,0,1,0,1,2,0,LMIC,SEASIA,Philippines
PHL,2012,,0.7364389356663399,0.1424262281017977,0.0,0.2197162909420344,0,1,0,1,2,0,LMIC,SEASIA,Philippines
PHL,2013,,0.8620731028463592,0.1349961533217999,0.0,0.24926731404203978,0,1,0,1,2,0,LMIC,SEASIA,Philippines
PHL,2014,,0.7378315285919655,0.1584954864946292,0.0,0.22408175377164868,0,1,0,1,2,0,LMIC,SEASIA,Philippines
PHL,2015,,0.7657021666527508,0.0891089891304645,0.0,0.21370278894580383,0,1,0,1,2,0,LMIC,SEASIA,Philippines
PHL,2016,0.6901715795974905,0.6514304163812067,0.0843605495657709,0.0,0.42550779434586605,1,0,0,1,2,0,LMIC,SEASIA,Philippines
PHL,2017,0.6789860256808591,0.6446784982010523,0.1274667685134563,0.0,0.4306814256669278,1,0,0,1,2,0,LMIC,SEASIA,Philippines
PHL,2018,0.6222894701732385,0.7044431116423672,0.1675585417848075,0.2499999999375,0.47330172790805214,0,1,0,1,2,0,LMIC,SEASIA,Philippines
PHL,2019,0.6033282143318899,0.7057402427776828,0.1292956533951942,0.2499999999375,0.45742384905000566,0,1,0,1,2,0,LMIC,SEASIA,Philippines
PHL,2020,0.5880076264871918,0.7332139036996855,0.4728745363981965,0.0,0.5073247792949876,0,1,1,1,3,1,LMIC,SEASIA,Philippines
PHL,2021,0.5602270346203795,0.7307062920914987,0.182042586503973,0.2499999999375,0.4617666817566257,0,1,0,1,2,0,LMIC,SEASIA,Philippines
PHL,2022,0.5398715919974669,0.6715219876416937,0.1481540574283606,0.0,0.393874068466627,0,0,0,1,1,0,LMIC,SEASIA,Philippines
PHL,2023,0.5347062347375974,0.6828245900194984,0.1830235697329455,0.0,0.40360922209627,0,0,0,1,1,0,LMIC,SEASIA,Philippines
PHL,2024,0.5078802051402851,0.7181780300791223,0.1408750819031386,,0.39252134979466496,0,1,0,0,1,0,LMIC,SEASIA,Philippines
IDN,2010,,0.6037276315880201,0.1774568533059703,,0.1952961212234976,0,0,0,0,0,0,UMIC,SEASIA,Indonesia
IDN,2011,,0.4686214673343227,0.179579924824416,0.0,0.16205034803968468,0,0,0,1,1,0,UMIC,SEASIA,Indonesia
IDN,2012,,0.3925560350891851,0.1643705758294221,0.0,0.1392316527296518,0,0,0,1,1,0,UMIC,SEASIA,Indonesia
IDN,2013,,0.7900643019760721,0.1994775505190553,0.0,0.24738546312378185,0,1,0,1,2,0,UMIC,SEASIA,Indonesia
IDN,2014,,0.7357451975537975,0.2080088546116806,0.0,0.23593851304136954,0,1,0,1,2,0,UMIC,SEASIA,Indonesia
IDN,2015,0.3624267093311931,0.7409865752377575,0.2122745066579933,0.0,0.3651646187398553,0,1,0,1,2,0,UMIC,SEASIA,Indonesia
IDN,2016,0.3141727154774818,0.6488913115105926,0.172948313960501,0.0,0.31542035678489205,0,0,0,1,1,0,UMIC,SEASIA,Indonesia
IDN,2017,0.3077966219550586,0.5367907690184306,0.1744810565324014,0.0,0.2855467740719785,0,0,0,1,1,0,UMIC,SEASIA,Indonesia
IDN,2018,0.4155348636797229,0.7770069587956276,0.1637518726274247,0.0,0.3806269101436661,0,1,0,1,2,0,UMIC,SEASIA,Indonesia
IDN,2019,0.4517455075924578,0.7406778992628525,0.1594947643152174,0.0,0.3831540935518777,0,1,0,1,2,0,UMIC,SEASIA,Indonesia
IDN,2020,0.4630851303456318,0.554589900251387,0.2955626756997755,0.0,0.3746179396087618,0,0,0,1,1,0,UMIC,SEASIA,Indonesia
